ID,Player,Hero,Kills,Deaths,Assists,LastHits,GPM,XPM,Match,Side,Winner,ELO
1,SoNNeikO,oracle,8,4,11,54,394,363,2277009400,Radiant,RADIANT,78.85
2,ArtStyle,witch_doctor,5,6,9,82,377,354,2277009400,Radiant,RADIANT,78.85
3,Dendi,magnataur,4,3,11,134,420,468,2277009400,Radiant,RADIANT,78.85
4,Ditya Ra,lycan,1,4,13,222,512,512,2277009400,Radiant,RADIANT,78.85
5,GeneRaL 2,juggernaut,7,5,12,165,529,483,2277009400,Radiant,RADIANT,78.85
6,AfterLife,furion,5,5,12,234,546,521,2277009400,Dire,RADIANT,-78.85
7,RAMZES666,ember_spirit,6,2,7,233,561,594,2277009400,Dire,RADIANT,-78.85
8,Scandal,batrider,4,6,5,127,350,347,2277009400,Dire,RADIANT,-78.85
9,KingR,vengefulspirit,2,5,5,38,222,187,2277009400,Dire,RADIANT,-78.85
10,Miposhka,earth_spirit,4,7,9,61,299,304,2277009400,Dire,RADIANT,-78.85
11,SoNNeikO,wisp,4,13,14,132,265,332,2276865122,Radiant,DIRE,-26.73
12,ArtStyle,bane,6,12,14,50,231,234,2276865122,Radiant,DIRE,-26.73
13,Dendi,drow_ranger,7,8,15,428,517,545,2276865122,Radiant,DIRE,-26.73
14,Ditya Ra,viper,5,7,14,319,408,464,2276865122,Radiant,DIRE,-26.73
15,GeneRaL 2,batrider,9,8,11,278,435,520,2276865122,Radiant,DIRE,-26.73
16,AfterLife,furion,10,7,24,424,614,571,2276865122,Dire,DIRE,26.73
17,RAMZES666,spectre,17,6,25,448,620,576,2276865122,Dire,DIRE,26.73
18,Scandal,puck,6,5,21,239,428,509,2276865122,Dire,DIRE,26.73
19,KingR,disruptor,7,6,26,32,294,356,2276865122,Dire,DIRE,26.73
20,Miposhka,earth_spirit,7,7,27,43,287,359,2276865122,Dire,DIRE,26.73
21,Arcanys,earth_spirit,2,9,13,21,303,353,2276682211,Radiant,DIRE,-30.55
22,Arcanys.mAcKenZ,witch_doctor,5,7,2,28,263,212,2276682211,Radiant,DIRE,-30.55
23,BNG,alchemist,2,7,4,159,587,436,2276682211,Radiant,DIRE,-30.55
24,PlayHard,gyrocopter,4,8,9,116,391,410,2276682211,Radiant,DIRE,-30.55
25,Esaydee,dark_seer,3,3,9,129,374,355,2276682211,Radiant,DIRE,-30.55
26,eyyou,lich,3,5,18,31,399,396,2276682211,Dire,DIRE,30.55
27,Teehee,juggernaut,16,0,6,145,702,610,2276682211,Dire,DIRE,30.55
28,CnS.poloismynam,sven,8,3,14,282,853,913,2276682211,Dire,DIRE,30.55
29,RagingWinterrGo,vengefulspirit,2,4,17,32,384,381,2276682211,Dire,DIRE,30.55
30,Sam H,doom_bringer,4,5,17,75,492,446,2276682211,Dire,DIRE,30.55
31,MyPro,queenofpain,8,1,13,158,578,529,2276435527,Radiant,RADIANT,91.46
32,boombell,lion,2,3,12,26,297,300,2276435527,Radiant,RADIANT,91.46
33,aabBAA,beastmaster,8,1,11,94,448,360,2276435527,Radiant,RADIANT,91.46
34,JAl3z,earth_spirit,4,2,17,29,328,323,2276435527,Radiant,RADIANT,91.46
35,LaKelz,medusa,6,1,15,210,560,498,2276435527,Radiant,RADIANT,91.46
36,343,vengefulspirit,1,7,4,28,189,169,2276435527,Dire,RADIANT,-91.46
37,Chrissy,chen,3,5,2,91,282,171,2276435527,Dire,RADIANT,-91.46
38,BangFish,windrunner,1,3,2,169,396,376,2276435527,Dire,RADIANT,-91.46
39,Net,slark,2,5,0,170,373,404,2276435527,Dire,RADIANT,-91.46
40,Ohaiyo,doom_bringer,1,8,4,86,280,247,2276435527,Dire,RADIANT,-91.46
41,MyPro,jakiro,9,3,16,115,491,544,2276317526,Radiant,RADIANT,97.03
42,boombell,oracle,7,2,10,16,303,277,2276317526,Radiant,RADIANT,97.03
43,aabBAA,doom_bringer,6,2,18,73,428,450,2276317526,Radiant,RADIANT,97.03
44,JAl3z,earth_spirit,5,5,27,18,347,383,2276317526,Radiant,RADIANT,97.03
45,LaKelz,medusa,7,5,18,180,532,499,2276317526,Radiant,RADIANT,97.03
46,343,vengefulspirit,2,13,11,15,219,166,2276317526,Dire,RADIANT,-97.03
47,Chrissy,night_stalker,4,4,5,70,308,322,2276317526,Dire,RADIANT,-97.03
48,BangFish,obsidian_destroyer,5,9,4,161,468,469,2276317526,Dire,RADIANT,-97.03
49,Net,sven,2,4,2,252,506,548,2276317526,Dire,RADIANT,-97.03
50,Ohaiyo,batrider,4,7,8,108,365,363,2276317526,Dire,RADIANT,-97.03
51,eyyou,witch_doctor,3,8,24,132,297,389,2276096655,Radiant,RADIANT,70.65
52,Teehee,obsidian_destroyer,13,7,13,318,504,525,2276096655,Radiant,RADIANT,70.65
53,RagingWinterrGo,vengefulspirit,1,8,30,46,273,413,2276096655,Radiant,RADIANT,70.65
54,Sam H,furion,6,4,19,426,516,490,2276096655,Radiant,RADIANT,70.65
55,CnS.poloismynam,juggernaut,19,4,13,473,662,529,2276096655,Radiant,RADIANT,70.65
56,nsTacks.<U+554A>fu,enchantress,5,10,7,130,292,264,2276096655,Dire,RADIANT,-70.65
57,Sentimental Lov,ember_spirit,10,3,13,563,646,529,2276096655,Dire,RADIANT,-70.65
58,NaNa <U+266A>,invoker,6,9,17,358,500,452,2276096655,Dire,RADIANT,-70.65
59,Wenn.,dark_seer,3,10,17,272,370,322,2276096655,Dire,RADIANT,-70.65
60,JJt .,lion,6,10,11,22,218,255,2276096655,Dire,RADIANT,-70.65
61,mistico,tusk,0,8,5,22,189,100,2275426403,Radiant,DIRE,-67.16
62,Smash,obsidian_destroyer,3,5,3,178,469,458,2275426403,Radiant,DIRE,-67.16
63,vanN,rattletrap,1,8,5,64,252,210,2275426403,Radiant,DIRE,-67.16
64,Masoku,enchantress,3,5,7,78,262,199,2275426403,Radiant,DIRE,-67.16
65,Iwo,phantom_lancer,3,4,3,158,445,475,2275426403,Radiant,DIRE,-67.16
66,J3R1CHO,crystal_maiden,1,4,15,28,306,223,2275426403,Dire,DIRE,67.16
67,BenjaZ 2,ursa,7,0,4,175,608,601,2275426403,Dire,DIRE,67.16
