,match,date,tournament,radiant,dire,winner,time,killScore,patch,Radiant Gain,Dire Gain,Radiant ELO,Dire ELO
1,2277009400,04/06/2016,DreamLeague Season 5,NaVi,Empire,RADIANT,33.3,25 - 22,6.86,78.85,-78.85,1377,1448
2,2276865122,04/06/2016,DreamLeague Season 5,NaVi,Empire,DIRE,56.65,31 - 48,6.86,-26.73,26.73,1298,1527
3,2276682211,04/06/2016,SEA KAPPA,Arcanys,TNC,DIRE,28.58,17 - 34,6.86,-30.55,30.55,1067,1271
4,2276435527,04/06/2016,SEA KAPPA,SiG.Tr,Fnatic.MY,RADIANT,30.92,28-Aug,6.86,91.46,-91.46,1306,1535
5,2276317526,04/06/2016,SEA KAPPA,SiG.Tr,Fnatic.MY,RADIANT,30.13,37 - 17,6.86,97.03,-97.03,1214,1626
6,2276096655,04/06/2016,SEA KAPPA,TNC,WG.Unity,RADIANT,61.23,42 - 31,6.86,70.65,-70.65,1240,1251
7,2275426403,04/05/2016,Sudamerican Master 4,E.Wolves,NoT,DIRE,30.52,Nov-30,6.86,-67.16,67.16,1152,1162
8,2275379829,04/05/2016,Sudamerican Master 4,E.Wolves,NoT,RADIANT,29.22,31 - 19,6.86,45.12,-45.12,1219,1095
9,2275319820,04/05/2016,Sudamerican Master 4,NoT,E.Wolves,RADIANT,49.8,40 - 33,6.86,74.05,-74.05,1140,1174
10,2275109912,04/05/2016,DreamLeague Season 5,Empire,DiG,RADIANT,84.58,43 - 33,6.86,43.27,-43.27,1500,1366
11,2275028257,04/05/2016,DreamLeague Season 5,DiG,Empire,DIRE,35.05,Aug-24,6.86,-60.48,60.48,1410,1457
12,2274902953,04/05/2016,DreamLeague Season 5,DiG,NaVi,RADIANT,29.7,23-Sep,6.86,40.98,-40.98,1470,1325
13,2274781122,04/05/2016,DreamLeague Season 5,NaVi,DiG,RADIANT,39.5,37 - 17,6.86,77.94,-77.94,1366,1429
14,2274095412,04/05/2016,EPICENTER,Nb,EHOME,RADIANT,53.9,46 - 27,6.86,28.82,-28.82,1624,1410
15,2273992647,04/05/2016,EPICENTER,EHOME,Nb,DIRE,37.62,Dec-34,6.86,-38.74,38.74,1438,1596
16,2273917666,04/05/2016,EPICENTER,Nb,EHOME,RADIANT,27.72,29-Dec,6.86,54.11,-54.11,1557,1477
17,2271901701,04/04/2016,EPICENTER,LGD.cn,EHOME,DIRE,24.18,Jul-27,6.86,-21.86,21.86,1266,1531
18,2271813303,04/04/2016,EPICENTER,EHOME,LGD.cn,RADIANT,28.28,25 - 13,6.86,27.82,-27.82,1509,1288
19,2271088834,04/03/2016,Sudamerican Master 4,paiN,CCA,RADIANT,30.15,36 - 10,6.86,41.70,-41.70,1100,958
20,2271037372,04/03/2016,Sudamerican Master 4,Keepo,paiN,DIRE,41.25,Sep-33,6.86,-58.85,58.85,1003,1058
21,2270853865,04/03/2016,EPICENTER,Vega,DB  3,DIRE,24.95,Sep-21,6.86,-66.82,66.82,1261,1273
22,2270751655,04/03/2016,EPICENTER,DB  3,Vega,RADIANT,35.2,20-Jun,6.86,84.14,-84.14,1206,1328
23,2270657538,04/03/2016,EPICENTER,Polarity,TSpirit,RADIANT,30.3,33 - 15,6.86,65.03,-65.03,1232,1209
24,2270549228,04/03/2016,EPICENTER,TSpirit,Polarity,RADIANT,25.83,34 - 16,6.86,48.42,-48.42,1275,1167
25,2270415898,04/03/2016,EPICENTER,Polarity,TSpirit,RADIANT,36.72,23-Nov,6.86,70.59,-70.59,1215,1226
26,2270057131,04/03/2016,EPICENTER,Nb,LGD.cn,RADIANT,60.68,27 - 23,6.86,33.40,-33.40,1503,1316
27,2269916277,04/03/2016,EPICENTER,LGD.cn,Nb,DIRE,29.23,Oct-18,6.86,-46.00,46.00,1349,1469
28,2269762448,04/03/2016,EPICENTER,Nb,LGD.cn,DIRE,36.8,14 - 37,6.86,-73.16,73.16,1423,1395
29,2269480271,04/03/2016,EPICENTER,EHOME,VG.R,RADIANT,20.58,14-Mar,6.86,38.43,-38.43,1482,1323
30,2269344768,04/03/2016,EPICENTER,VG.R,EHOME,DIRE,34.33,Jun-17,6.86,-53.66,53.66,1361,1443
31,2268239419,04/02/2016,EPICENTER,Vega,LC,RADIANT,33.18,22 - 14,6.86,27.65,-27.65,1412,1189
32,2268157891,04/02/2016,EPICENTER,LC,Vega,DIRE,27.62,Jul-22,6.86,-36.89,36.89,1217,1384
33,2268058627,04/02/2016,EPICENTER,Vega,LC,DIRE,35.88,25 - 33,6.86,-81.36,81.36,1347,1254
34,2267799304,04/02/2016,EPICENTER,NaVi,Polarity,DIRE,29.55,Jul-43,6.86,-86.00,86.00,1288,1145
35,2267665652,04/02/2016,EPICENTER,Polarity,NaVi,RADIANT,39.8,48 - 29,6.86,94.82,-94.82,1059,1374
36,2267152768,04/02/2016,EPICENTER,iG.V,VG.R,DIRE,18.75,Aug-16,6.86,-28.30,28.30,1197,1415
37,2267026819,04/02/2016,EPICENTER,iG.V,VG.R,DIRE,26.23,03-Dec,6.86,-37.92,37.92,1225,1387
38,2266730605,04/02/2016,EPICENTER,CDEC,EHOME,DIRE,22.12,Jul-22,6.86,-26.68,26.68,1161,1390
39,2266631748,04/02/2016,EPICENTER,EHOME,CDEC,RADIANT,24.77,20-Jan,6.86,35.35,-35.35,1363,1187
40,2265530348,04/01/2016,EPICENTER,TSpirit,DiG,DIRE,41.88,23 - 38,6.86,-29.49,29.49,1297,1507
41,2265410457,04/01/2016,EPICENTER,DiG,TSpirit,RADIANT,43.55,26-Nov,6.86,39.82,-39.82,1478,1326
42,2265315612,04/01/2016,EPICENTER,Power Rangers,DB  3,RADIANT,31.4,35 - 16,6.86,30.39,-30.39,1327,1122
43,2265248418,04/01/2016,EPICENTER,DB  3,Power Rangers,DIRE,15.92,May-22,6.86,-41.24,41.24,1152,1296
44,2265077470,04/01/2016,EPICENTER,Power Rangers,DB  3,DIRE,49.43,29 - 28,6.86,-77.71,77.71,1255,1193
45,2264665675,04/01/2016,EPICENTER,iG.V,iG,RADIANT,36.07,22-Dec,6.86,28.06,-28.06,1263,1043
46,2264458074,04/01/2016,EPICENTER,iG.V,iG,RADIANT,50.4,35 - 17,6.86,37.53,-37.53,1235,1072
